date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:29:27	82012/82012	---M--	200	added ('OK')	text/html	etag:%22f85cf47f580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/368.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/368.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:27	16841/16841	---M--	200	added ('OK')	text/html	etag:%2232ae3a6e480d61:e45%22	http://jinyongxiaoshuo.com/new_yitiantulongji/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_yitiantulongji/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:28	10765/10765	---M--	200	added ('OK')	text/html	etag:%228c16f6c4380d61:e45%22	http://jinyongxiaoshuo.com/new_baimaxiaoxifeng/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_baimaxiaoxifeng/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:29	76080/76080	---M--	200	added ('OK')	text/html	etag:%2218ec817f580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/367.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/367.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:29	11611/11611	---M--	200	added ('OK')	text/html	etag:%224e86d9dc380d61:e45%22	http://jinyongxiaoshuo.com/new_lianchengjue/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_lianchengjue/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:30	17887/17887	---M--	200	added ('OK')	text/html	etag:%227a42a53c480d61:e45%22	http://jinyongxiaoshuo.com/new_tianlongbabu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_tianlongbabu/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:31	95235/95235	---M--	200	added ('OK')	text/html	etag:%22a04197f580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/366.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/366.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:31	11681/11681	---M--	200	added ('OK')	text/html	etag:%22866dac44480d61:e45%22	http://jinyongxiaoshuo.com/new_xiakexing/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_xiakexing/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:33	13732/13732	---M--	200	added ('OK')	text/html	etag:%227816b857480d61:e45%22	http://jinyongxiaoshuo.com/new_xiaoaojianghu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_xiaoaojianghu/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:33	92381/92381	---M--	200	added ('OK')	text/html	etag:%22a445987e580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/365.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/365.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:35	80319/80319	---M--	200	added ('OK')	text/html	etag:%224e24157e580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/364.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/364.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:35	18897/18897	---M--	200	added ('OK')	text/html	etag:%2292967cf4380d61:e45%22	http://jinyongxiaoshuo.com/new_ludingji/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_ludingji/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:37	9262/9262	---M--	200	added ('OK')	text/html	etag:%229ed22570480d61:e45%22	http://jinyongxiaoshuo.com/new_yuenvjian/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_yuenvjian/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:37	64814/64814	---M--	200	added ('OK')	text/html	etag:%226eb3a27d580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/363.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/363.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:39	109645/109645	---M--	200	added ('OK')	text/html	etag:%22121a487d580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/362.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/362.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:41	73036/73036	---M--	200	added ('OK')	text/html	etag:%224648b47c580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/361.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/361.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:43	93318/93318	---M--	200	added ('OK')	text/html	etag:%22ce604b7c580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/360.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/360.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:45	98375/98375	---M--	200	added ('OK')	text/html	etag:%22783fc87b580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/359.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/359.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
